GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Holder.ExchangeRequest,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Issuer.CredentialStatus,0,16,0,0,0,6,0,3,0,3
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,VerifiableCredentialBodyPublishers,14,23,0,0,4,9,0,5,0,5
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Holder.Query,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,VerifiableCredentialBodyHandlers,14,67,2,6,4,13,2,7,0,5
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,VerifiableCredentialException,57,15,0,0,21,5,6,2,6,2
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Verifier,12,114,1,3,4,26,2,10,1,9
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,VerifiablePresentationRequest.Query,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Holder.ProveRequest,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Verifier.VerificationResponse,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Holder,90,459,9,11,25,95,16,36,7,35
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Issuer,12,110,1,3,4,31,2,11,1,10
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,VerifiablePresentationRequest,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Holder.new ArrayList() {...},0,6,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Holder.DerivationRequest,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Issuer.StatusRequest.Builder,0,32,0,0,0,6,0,4,0,4
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Holder.new ArrayList() {...},0,6,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Verifiable Credentials,com.inrupt.client.vc,Issuer.StatusRequest,0,15,0,0,0,6,0,3,0,3
